content_key,level_code,headword,reading,ruby,romaji_ko,pos,conj_type,transitivity,meaning_ko,meaning_ko_alt,example_ja,example_ko,audio_file,source,verify,note
jlpt.n3.vocab.0001,N3,性格,せいかく,{性格|せい|かく},세에카쿠,noun,-,-,성격,기질,{兄|あに}とわたしは{性格|せいかく}が{全|まった}く{違|ちが}います。,형과 저는 성격이 완전히 달라요.,jlpt.n3.vocab.0001.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自分と家族」 자기소개에서 경험·성격을 곁들여 말하기 / ②빈도 zipf 4.77 / 내용어 919위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0012,N3,感想,かんそう,{感想|かん|そう},칸소오,noun,-,-,감상,느낀 점,{見|み}た{映画|えいが}の{感想|かんそう}をサイトに{書|か}きこみました。,본 영화의 감상을 사이트에 올렸어요.,jlpt.n3.vocab.0012.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 본 영화의 보고·감상을 리뷰 사이트에 쓰기 / ②빈도 zipf 4.68 / 내용어 1177위(모집단 80726); Tanos교차: N2 분류(구시험 기준) — 선정축 판단을 우선해 N3 유지
jlpt.n3.vocab.0013,N3,魅力,みりょく,{魅力|み|りょく},미료쿠,noun,-,-,매력,-,このバンドの{魅力|みりょく}は{声|こえ}だと{思|おも}います。,이 밴드의 매력은 목소리라고 생각해요.,jlpt.n3.vocab.0013.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 좋아하는 음악의 매력과 이유를 자세히 말하기 / ②빈도 zipf 4.72 / 내용어 1071위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0014,N3,印象,いんしょう,{印象|いん|しょう},인쇼오,noun,-,-,인상,느낌,{祭|まつ}りで{印象|いんしょう}に{残|のこ}った ところを{話|はな}し{合|あ}いました。,축제에서 인상에 남은 부분을 서로 이야기했어요.,jlpt.n3.vocab.0014.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 축제 뒤 인상에 남은 것을 서로 말하기 / ②빈도 zipf 4.95 / 내용어 580위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0015,N3,表現,ひょうげん,{表現|ひょう|げん},효오겐,noun,suru_noun,vt,표현,-,{気持|きも}ちを{言葉|ことば}で{表現|ひょうげん}するのは{難|むずか}しいです。,마음을 말로 표현하기는 어려워요.,jlpt.n3.vocab.0015.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 감상·의견을 어느 정도 자세히 말하기 / ②빈도 zipf 4.99 / 내용어 515위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0016,N3,感動,かんどう,{感動|かん|どう},칸도오,noun,suru_noun,vi,감동,-,あのシーンには{本当|ほんとう}に{感動|かんどう}しました。,그 장면에는 정말 감동했어요.,jlpt.n3.vocab.0016.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 인상에 남은 장면을 이유와 함께 말하기 / ②빈도 zipf 4.58 / 내용어 1509위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0017,N3,人気,にんき,{人気|にん|き},닝키,noun,-,-,인기,-,この{漫画|まんが}は{若|わか}い{人|ひと}に{人気|にんき}があります。,이 만화는 젊은 사람에게 인기가 있어요.,jlpt.n3.vocab.0017.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 랭킹 기사를 읽고 주요 정보를 이해하기 / ②빈도 zipf 5.25 / 내용어 213위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0018,N3,流行,りゅうこう,{流行|りゅう|こう},류우코오,noun,suru_noun,vi,유행,-,{今|いま}{流行|りゅうこう}している{曲|きょく}を{教|おし}えてください。,지금 유행하는 곡을 알려 주세요.,jlpt.n3.vocab.0018.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 음악·미디어의 화제를 정보 교환하기 / ②빈도 zipf 4.61 / 내용어 1423위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0019,N3,飽きる,あきる,{飽|あ}きる,아키루,verb,g2,vi,질리다,싫증나다,{同|おな}じ{曲|きょく}ばかりで{飽|あ}きてしまいました。,같은 곡만 나와서 질려 버렸어요.,jlpt.n3.vocab.0019.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 왜 좋은지·왜 싫은지 자기 생각을 말하기 / ②빈도 zipf 4.59 / 내용어 1484위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0020,N3,描く,えがく,{描|えが}く,에가쿠,verb,g1,vt,그리다,묘사하다,この{漫画|まんが}は{友情|ゆう|じょう}を{描|えが}いています。,이 만화는 우정을 그리고 있어요.,jlpt.n3.vocab.0020.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 만화·소설의 줄거리와 매력을 설명하기 / ②빈도 zipf 5.22 / 내용어 244위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0021,N3,開催,かいさい,{開催|かい|さい},카이사이,noun,suru_noun,vt,개최,-,イベントは{駅前|えきまえ}のホールで{開催|かいさい}されます。,행사는 역 앞 홀에서 열려요.,jlpt.n3.vocab.0021.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 직장 행사 내용을 포스터·전단에 자세히 쓰기 / ②빈도 zipf 5.30 / 내용어 191위(모집단 80726); Tanos교차: N1 분류(구시험 기준) — 선정축 판단을 우선해 N3 유지
jlpt.n3.vocab.0022,N3,参加,さんか,{参加|さん|か},상카,noun,suru_noun,vi,참가,참여,サークルの{活動|かつどう}に{参加|さんか}してみませんか。,동아리 활동에 참가해 보지 않을래요?,jlpt.n3.vocab.0022.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 동아리 모집 안내에 문의 메일 쓰기 / ②빈도 zipf 5.45 / 내용어 110위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0023,N3,選手,せんしゅ,{選手|せん|しゅ},센슈,noun,-,-,선수,-,{好|す}きな{選手|せんしゅ}が{今日|きょう}も{活躍|かつやく}しました。,좋아하는 선수가 오늘도 활약했어요.,jlpt.n3.vocab.0023.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 스포츠 뉴스를 보고 주요 내용 이해하기 / ②빈도 zipf 5.10 / 내용어 357위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0024,N3,優勝,ゆうしょう,{優勝|ゆう|しょう},유우쇼오,noun,suru_noun,vi,우승,-,{大会|たいかい}で{優勝|ゆうしょう}した{友|とも}だちにお{祝|いわ}いを{言|い}いました。,대회에서 우승한 친구에게 축하를 전했어요.,jlpt.n3.vocab.0024.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 우승한 친구에게 축하의 말을 하기 / ②빈도 zipf 4.75 / 내용어 977위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0025,N3,応援,おうえん,{応援|おう|えん},오오엔,noun,suru_noun,vt,응원,-,これからも{応援|おうえん}しています。,앞으로도 응원할게요.,jlpt.n3.vocab.0025.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 앞으로의 활약을 기대하는 마음을 말하기 / ②빈도 zipf 4.85 / 내용어 750위(모집단 80726); Tanos교차: N2 분류(구시험 기준) — 선정축 판단을 우선해 N3 유지
jlpt.n3.vocab.0026,N3,夢中,むちゅう,{夢中|む|ちゅう},무추우,na_adj,na_adj,-,푹 빠짐,몰두함,{弟|おとうと}は ゲームに{夢中|むちゅう}になっています。,남동생은 게임에 푹 빠져 있어요.,jlpt.n3.vocab.0026.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 좋아하는 것의 매력을 자세히 말하기 / ②빈도 zipf 4.16 / 내용어 3697위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0027,N3,相手,あいて,{相手|あい|て},아이테,noun,-,-,상대,상대방,{相手|あいて}チームのほうが{強|つよ}そうです。,상대 팀 쪽이 강해 보여요.,jlpt.n3.vocab.0027.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 게임의 결과·내용을 질문하고 답하기 / ②빈도 zipf 5.36 / 내용어 149위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0028,N3,派手,はで,{派手|は|で},하데,na_adj,na_adj,-,화려함,요란함,この ポスターは{派手|はで}すぎるかもしれません。,이 포스터는 너무 화려할지도 몰라요.,jlpt.n3.vocab.0028.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 포스터의 테마·내용을 설명하고 점검 의뢰하기 / ②빈도 zipf 4.16 / 내용어 3723위(모집단 80726); Tanos교차: N2 분류(구시험 기준) — 선정축 판단을 우선해 N3 유지
jlpt.n3.vocab.0029,N3,感じる,かんじる,{感|かん}じる,칸지루,verb,g2,vt,느끼다,-,この{曲|きょく}を{聞|き}くと{元気|げんき}になるように{感|かん}じます。,이 곡을 들으면 기운이 나는 것 같이 느껴져요.,jlpt.n3.vocab.0029.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 왜 좋은지 자기 생각을 말하기 / ②빈도 zipf 5.02 / 내용어 471위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0030,N3,盛り上がる,もりあがる,{盛|も}り{上|あ}がる,모리아가루,verb,g1,vi,분위기가 달아오르다,고조되다,ライブの{会場|かいじょう}はとても{盛|も}り{上|あ}がりました。,라이브 공연장은 아주 뜨겁게 달아올랐어요.,jlpt.n3.vocab.0030.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 이벤트 뒤 인상에 남은 것을 서로 말하기 / ②빈도 zipf 4.37 / 내용어 2497위(모집단 80726); Tanos교차: N1 분류(구시험 기준) — 선정축 판단을 우선해 N3 유지
jlpt.n3.vocab.0031,N3,誘う,さそう,{誘|さそ}う,사소우,verb,g1,vt,권하다,초대하다,イベントの{見|み}どころを{説明|せつめい}して{友|とも}だちを{誘|さそ}いました。,행사의 볼거리를 설명하며 친구를 불렀어요.,jlpt.n3.vocab.0031.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 이벤트 내용을 설명하며 친구를 초대하기 / ②빈도 zipf 4.58 / 내용어 1533위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0032,N3,眺める,ながめる,{眺|なが}める,나가메루,verb,g2,vt,바라보다,조망하다,{屋上|おくじょう}から{町|まち}を{眺|なが}めるのが{好|す}きです。,옥상에서 거리를 바라보는 걸 좋아해요.,jlpt.n3.vocab.0032.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 여가 활동의 매력을 자세히 말하기 / ②빈도 zipf 4.42 / 내용어 2233위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0033,N3,地味,じみ,{地味|じ|み},지미,na_adj,na_adj,-,수수함,눈에 안 띔,{地味|じみ}な デザインのほうが{長|なが}く{使|つか}えます。,수수한 디자인 쪽이 오래 쓸 수 있어요.,jlpt.n3.vocab.0033.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 상품의 디자인 취향과 희망을 설명하기 / ②빈도 zipf 4.35 / 내용어 2591위(모집단 80726); Tanos교차: N2 분류(구시험 기준) — 선정축 판단을 우선해 N3 유지
jlpt.n3.vocab.0034,N3,撮影,さつえい,{撮影|さつ|えい},사츠에에,noun,suru_noun,vt,촬영,-,ここは{撮影|さつえい}が{禁止|きんし}されています。,여기는 촬영이 금지되어 있어요.,jlpt.n3.vocab.0034.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 시설 이용 방법 설명을 듣고 이해하기 / ②빈도 zipf 5.15 / 내용어 305위(모집단 80726); Tanos교차: N2 분류(구시험 기준) — 선정축 판단을 우선해 N3 유지
jlpt.n3.vocab.0035,N3,激しい,はげしい,{激|はげ}しい,하게시이,i_adj,i_adj,-,격렬하다,심하다,{雨|あめ}が{激|はげ}しくなって{試合|しあい}が{止|と}まりました。,비가 심해져서 시합이 멈췄어요.,jlpt.n3.vocab.0035.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 시합 결과와 상황을 자세히 전달하기 / ②빈도 zipf 4.65 / 내용어 1306위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0036,N3,うまい,うまい,うまい,우마이,i_adj,i_adj,-,잘하다,맛있다,あの{選手|せんしゅ}は パスがとても うまいです。,저 선수는 패스가 아주 좋아요.,jlpt.n3.vocab.0036.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 시합 내용의 자세한 정보를 주고받기 / ②빈도 zipf 5.32 / 내용어 175위(모집단 80726); Tanos교차: N4 분류 — 우리 N4 400 미수록 잔여분을 N3으로 흡수
jlpt.n3.vocab.0037,N3,人生,じんせい,{人生|じん|せい},진세에,noun,-,-,인생,삶,{人生|じんせい}で{一番|いちばん}うれしかった{日|ひ}です。,인생에서 가장 기뻤던 날이에요.,jlpt.n3.vocab.0037.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「生活と人生」 근황을 주고받으며 공감을 나타내기 / ②빈도 zipf 5.18 / 내용어 271위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0038,N3,結婚式,けっこんしき,{結婚式|けっ|こん|しき},켁콘시키,noun,-,-,결혼식,-,{来週|らいしゅう}{友|とも}だちの{結婚式|けっこんしき}に{出|で}ます。,다음 주에 친구 결혼식에 가요.,jlpt.n3.vocab.0038.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「生活と人生」 관혼상제에 관한 인터뷰 기사를 읽기 / ②빈도 zipf 4.51 / 순위표 밖; Tanos교차: 전급수 목록밖 — Tanos(구시험 어휘)에 없는 현대어로 판단
jlpt.n3.vocab.0039,N3,葬式,そうしき,{葬式|そう|しき},소오시키,noun,-,-,장례식,-,{葬式|そうしき}のマナーは{国|くに}によって{違|ちが}います。,장례식 예절은 나라마다 달라요.,jlpt.n3.vocab.0039.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「生活と人生」 관혼상제를 어떻게 치르는지 이해하기 / ②빈도 zipf 3.82 / 내용어 6559위(모집단 80726); Tanos교차: N2 분류(구시험 기준) — 선정축 판단을 우선해 N3 유지
jlpt.n3.vocab.0040,N3,出来事,できごと,{出来事|で|き|ごと},데키고토,noun,-,-,일,사건,{身|み}の{回|まわ}りの{出来事|できごと}を{友|とも}だちに{話|はな}しました。,신변에 있었던 일을 친구에게 이야기했어요.,jlpt.n3.vocab.0040.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「生活と人生」 친구의 신변 이야기를 듣고 요점 이해하기 / ②빈도 zipf 4.43 / 내용어 2158위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0041,N3,独身,どくしん,{独身|どく|しん},도쿠신,noun,-,-,독신,미혼,{兄|あに}はまだ{独身|どくしん}です。,형은 아직 독신이에요.,jlpt.n3.vocab.0041.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「生活と人生」 결혼에 관한 설문 기사를 읽고 이해하기 / ②빈도 zipf 4.06 / 내용어 4375위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0042,N3,いつのまにか,いつのまにか,いつのまにか,이츠노마니카,adv,-,-,어느새,어느 틈엔가,いつのまにか{子|こ}どもが{大|おお}きくなっていました。,어느새 아이가 커 있었어요.,jlpt.n3.vocab.0042.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「生活と人生」 근황을 보고하며 공감을 나타내기 / ②빈도 zipf 3.65 / 순위표 밖; Tanos교차: N2 분류(구시험 기준) — 선정축 판단을 우선해 N3 유지
jlpt.n3.vocab.0043,N3,ますます,ますます,ますます,마스마스,adv,-,-,점점 더,더욱더,この{町|まち}は ますます{住|す}みやすくなりました。,이 동네는 점점 더 살기 좋아졌어요.,jlpt.n3.vocab.0043.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「生活と人生」 변화한 근황을 정도와 함께 전하기 / ②빈도 zipf 4.21 / 내용어 3386위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0044,N3,世代,せだい,{世代|せ|だい},세다이,noun,-,-,세대,-,{世代|せだい}によって{考|かんが}え{方|かた}が{違|ちが}うようです。,세대에 따라 사고방식이 다른 것 같아요.,jlpt.n3.vocab.0044.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「生活と人生」 가까운 사안에 관한 조사 기사를 읽기 / ②빈도 zipf 4.76 / 내용어 942위(모집단 80726); Tanos교차: N1 분류(구시험 기준) — 선정축 판단을 우선해 N3 유지
jlpt.n3.vocab.0045,N3,幸せ,しあわせ,{幸|しあわ}せ,시아와세,na_adj,na_adj,-,행복,행복하다,{家族|かぞく}といられるだけで{幸|しあわ}せです。,가족과 함께 있는 것만으로 행복해요.,jlpt.n3.vocab.0045.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「生活と人生」 기쁨·슬픔에 공감하는 코멘트 하기 / ②빈도 zipf 5.01 / 내용어 488위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0046,N3,暮らす,くらす,{暮|く}らす,쿠라스,verb,g1,vi,살다,생활하다,{今|いま}は{東京|とうきょう}で{一人|ひとり}で{暮|く}らしています。,지금은 도쿄에서 혼자 살고 있어요.,jlpt.n3.vocab.0046.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「生活と人生」 근황을 서로 보고하기 / ②빈도 zipf 4.29 / 내용어 2904위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0047,N3,過ごす,すごす,{過|す}ごす,스고스,verb,g1,vt,지내다,보내다,{休|やす}みは{家|いえ}でゆっくり{過|す}ごしました。,휴일은 집에서 느긋하게 보냈어요.,jlpt.n3.vocab.0047.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「生活と人生」 신변에 있었던 일과 감상을 말하기 / ②빈도 zipf 4.88 / 내용어 711위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0048,N3,一生,いっしょう,{一生|いっ|しょう},잇쇼오,noun,-,-,평생,한평생,この{経験|けいけん}は{一生|いっしょう}{忘|わす}れないでしょう。,이 경험은 평생 잊지 못할 거예요.,jlpt.n3.vocab.0048.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「生活と人生」 경험과 심정을 어느 정도 자세히 말하기 / ②빈도 zipf 4.57 / 내용어 1542위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0049,N3,観光,かんこう,{観光|かん|こう},캉코오,noun,suru_noun,vi,관광,-,{午前中|ご|ぜん|ちゅう}は{市内|しない}を{観光|かんこう}する{予定|よてい}です。,오전에는 시내를 관광할 예정이에요.,jlpt.n3.vocab.0049.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「旅行と交通」 관광 소개 방송을 보고 요점 이해하기 / ②빈도 zipf 4.86 / 내용어 744위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0050,N3,名所,めいしょ,{名所|めい|しょ},메에쇼,noun,-,-,명소,-,{地元|じ|もと}の{名所|めいしょ}をメールで{紹介|しょうかい}しました。,고향의 명소를 메일로 소개했어요.,jlpt.n3.vocab.0050.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「旅行と交通」 출신지의 명소·명물을 메일로 소개하기 / ②빈도 zipf 3.75 / 내용어 7294위(모집단 80726); Tanos교차: N2 분류(구시험 기준) — 선정축 판단을 우선해 N3 유지
jlpt.n3.vocab.0051,N3,名物,めいぶつ,{名物|めい|ぶつ},메에부츠,noun,-,-,명물,명산품,この{町|まち}の{名物|めいぶつ}はおそばだそうです。,이 동네의 명물은 메밀국수래요.,jlpt.n3.vocab.0051.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「旅行と交通」 가이드 설명을 듣고 주요 정보 이해하기 / ②빈도 zipf 3.92 / 내용어 5576위(모집단 80726); Tanos교차: N2 분류(구시험 기준) — 선정축 판단을 우선해 N3 유지
jlpt.n3.vocab.0052,N3,旅館,りょかん,{旅館|りょ|かん},료칸,noun,-,-,여관,료칸,{旅館|りょかん}に{部屋|へや}のことを{問|と}い{合|あ}わせました。,료칸에 방에 대해 문의했어요.,jlpt.n3.vocab.0052.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「旅行と交通」 숙소에 희망 사항을 담아 문의 메일 쓰기 / ②빈도 zipf 3.99 / 내용어 4960위(모집단 80726); Tanos교차: N4 분류 — 우리 N4 400 미수록 잔여분을 N3으로 흡수
jlpt.n3.vocab.0053,N3,宿泊,しゅくはく,{宿泊|しゅく|はく},슈쿠하쿠,noun,suru_noun,vi,숙박,-,{宿泊|しゅくはく}する ホテルはもう{決|き}まりました。,숙박할 호텔은 이미 정해졌어요.,jlpt.n3.vocab.0053.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「旅行と交通」 행선지·일정을 상의해 정하기 / ②빈도 zipf 4.09 / 내용어 4178위(모집단 80726); Tanos교차: N3 일치
